Devices
1000
,,North - Force,,,North - Moment,,,North - CoP,,,South - Force,,,South - Moment,,,South - CoP,,,EMG - Voltage,,,,,,,,,,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,1,2,3,TA,5,Sol,7,8,VL,RF,BF,GlutMed,GlutMax,14,MedGast,16
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000730935,-7.94986e-05,0.00055439,0.0153274,0.011134,0.00113502,0.00110237,0.00148586,0.0393165,-0.000351105,0.000811462,0.0117343,-0.0219611,0.00109676,0.00252728,-0.00897888
1,1,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000921669,0.00148453,0.000439949,0.0159378,0.0097607,0.000448379,0.000644607,0.000494041,0.09421,0.000640716,0.00138367,0.0117724,-0.0220374,0.000333824,0.000734367,-0.00993256
1,2,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000196877,0.000492706,0.000974007,0.0155944,0.00987514,0.000486526,0.0013694,0.000379601,-0.0684106,-0.000999603,0.00104034,0.0131076,-0.0211981,0.00102047,0.00115398,-0.00825409
1,3,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000730935,0.00106491,0.000897713,0.0161285,0.0135373,0.00109688,0.000873489,0.00106625,0.0380576,0.000831451,0.00046814,0.0161975,-0.0209692,0.000906029,0.00206951,-0.00813965
1,4,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000578347,0.0011412,0.00127918,0.0161285,0.0182293,0.00121132,0.00102608,-0.000154457,0.101458,0.000640716,0.00104034,0.0152056,-0.0203207,0.00117306,0.00145916,-0.00844482
1,5,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000425759,0.000454559,-5.59617e-05,0.0157089,0.0181912,0.00109688,0.00236122,0.000608482,-0.0766122,-0.000122223,0.000620727,0.0149386,-0.0223425,0.000753441,0.00134472,-0.00958923
1,6,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000387612,0.000797882,0.000516243,0.0159378,0.017619,0.000715408,0.000377579,-1.86916e-06,-0.0410973,0.000335541,0.000391846,0.0192874,-0.0211218,0.00102047,0.00161175,-0.00878815
1,7,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000578347,-0.00133835,9.66262e-05,0.0165863,0.0126599,0.000486526,0.00125496,-0.000459633,-0.0100076,-0.000465546,0.000277405,0.0185626,-0.0214651,0.000295677,0.00111584,-0.00836853
1,8,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,-7.01519e-05,-0.000499115,0.000401802,0.0149078,0.00709042,0.000753555,0.00114052,0.000608482,0.0826896,-4.59291e-05,0.000658874,0.022034,-0.0204352,0.00025753,0.000772514,-0.00798706
1,9,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000502053,0.000378265,0.000630684,0.0154037,0.00560268,-0.000390854,0.000720901,-0.000459633,-0.00295036,-0.00016037,0.000315552,0.01944,-0.0202063,0.000410118,0.00153545,-0.00798706
2,0,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000654641,0.0012175,0.00135548,0.0162811,0.00766262,0.00124947,0.0019416,0.00076107,-0.0468575,0.00109848,0.000620727,0.0154345,-0.0210074,0.00136379,0.00195507,-0.00909332
2,1,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.00141758,0.00129379,0.000630684,0.0163955,0.00560268,0.000982437,0.000873489,0.000989952,0.0977958,0.0015181,0.00096405,0.0187915,-0.0218085,0.000486412,0.00199322,-0.0075293
2,2,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.0018372,-3.20468e-06,0.000859566,0.0166626,0.00388607,0.0014402,0.00129311,0.000570335,-0.00336998,0.00121292,0.000620727,0.0183337,-0.0208929,0.00140194,0.000772514,-0.00672821
2,3,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000196877,-0.00019394,5.84793e-05,0.0162048,0.00445827,0.000486526,0.00125496,0.000227013,-0.0472771,0.000373688,-0.0002948,0.0126879,-0.0221136,-0.000276527,0.000124016,-0.00859741
2,4,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,-0.000260887,0.000492706,0.000706978,0.0155944,-0.00195042,0.000181351,0.000568314,0.000150719,0.107447,0.000678863,0.000620727,0.0124591,-0.0206259,0.000829735,0.000810661,-0.0100851
2,5,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,-0.000642356,0.000797882,0.00093586,0.0160141,-0.0040485,0.000906143,0.000453873,-0.00011631,0.00303871,0.000335541,-0.0002948,0.0138324,-0.0219611,0.000410118,0.000543633,-0.00840668
2,6,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000959816,0.00018753,-0.00032299,0.0162429,-0.000348244,0.00163094,0.00125496,0.000646629,-0.0490701,0.000182953,0.000925903,0.0175326,-0.021427,0.000677147,0.00134472,-0.00768188
2,7,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000502053,0.00140823,0.000134773,0.0163192,-0.00389591,0.000829849,0.00152199,0.00076107,0.10985,0.00163254,0.000658874,0.0147479,-0.0208167,0.00140194,0.000658073,-0.00840668
2,8,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,8.2436e-05,0.00110306,0.000706978,0.0160522,-0.00309483,0.000143204,0.000873489,0.000608482,0.0106681,6.85118e-05,-0.000180359,0.0151294,-0.0215033,0.000677147,0.00237469,-0.00772003
2,9,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000616494,0.000492706,0.000859566,0.0162811,-0.00401035,0.000791702,0.000301285,0.000112572,-0.0832497,0.00132736,0.00111664,0.0132602,-0.0221136,0.000753441,0.000925102,-0.00863556
3,0,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000273171,0.000645294,0.00124104,0.0157852,-0.00477329,0.000677261,0.000720901,0.000379601,-0.0165688,0.000831451,0.000544433,0.0122302,-0.0202826,0.000944176,0.0010014,-0.00703339
