Devices
1000
,,North - Force,,,North - Moment,,,North - CoP,,,South - Force,,,South - Moment,,,South - CoP,,,EMG - Voltage,,,,,,,,,,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,1,2,3,TA,5,Sol,7,8,VL,RF,BF,GlutMed,GlutMax,14,MedGast,16
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.00115055,0.000149383,-0.000246697,0.0160522,0.00506863,0.00124947,-3.89107e-06,0.000417748,-0.0338494,0.00128921,0.000925903,0.016846,-0.0220374,0.00163082,0.000963249,-0.00821594
1,1,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000883522,0.00156082,0.000439949,0.0157089,0.000948753,0.000105057,7.24029e-05,-7.81631e-05,-0.00394218,-8.40761e-05,0.000391846,0.013222,-0.0219992,0.00113491,0.00111584,-0.00749115
1,2,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000463906,-0.000384674,-1.78147e-05,0.01651,0.00216946,0.000372085,0.000148697,0.000608482,0.0662101,0.000488129,0.000506287,0.0120776,-0.021427,0.0012112,-0.000905952,-0.00802521
1,3,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000196877,0.000569,0.00120289,0.0162429,0.00552639,0.000982437,-0.000194626,0.000417748,0.168101,0.00102219,0.00134552,0.0138705,-0.0206641,6.67954e-05,0.00107769,-0.00878815
1,4,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000921669,0.00220932,0.000783272,0.0157852,0.00400051,0.00151649,0.000644607,0.000417748,0.143076,0.000831451,0.000773315,0.0168078,-0.0206641,0.00147823,0.00134472,-0.00993256
1,5,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000845375,0.000912323,0.00108845,0.0167389,-0.000653419,0.000982437,0.00125496,3.62778e-05,0.110422,0.00128921,0.000887756,0.0165026,-0.0202444,0.000448265,0.00123028,-0.00783447
1,6,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,-0.000909385,0.00106491,0.000706978,0.0160904,-4.92088e-06,0.00056282,-4.2038e-05,-0.000726662,-0.0283181,0.00117477,0.00046814,0.0155108,-0.0215796,0.000371971,0.00123028,-0.010047
1,7,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000196877,-3.20468e-06,-0.000895195,0.0154037,0.00232204,0.000219498,0.000415726,0.000112572,-0.0969064,-0.000732575,-0.0002948,0.0146334,-0.0230673,0.000410118,-0.000791511,-0.00947479
1,8,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000502053,0.00106491,0.000287361,0.0158233,0.00339016,-0.000429001,0.000186844,0.000150719,0.0240577,0.000411835,0.000315552,0.0132983,-0.0219611,0.000524559,0.000886955,-0.00722412
1,9,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.00137943,0.00106491,0.000249214,0.0155563,0.00434383,0.000906143,0.00060646,0.000227013,-0.00645988,0.000335541,-6.59181e-05,0.00940731,-0.0229529,0.0012112,0.00126843,-0.00951294
2,0,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000273171,0.000111236,0.000325508,0.0157089,0.00171169,0.000982437,0.000568314,0.000646629,-0.0844704,0.00109848,-0.00117218,0.0104373,-0.0210837,0.000715294,-0.00018116,-0.00775818
2,1,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,-0.000299034,0.000874176,0.000630684,0.0165481,0.00503048,0.00105873,0.000377579,0.000455895,0.0301612,0.000373688,0.000773315,0.0137179,-0.02116,0.000982323,0.00058178,-0.00970367
2,2,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000463906,-0.00030838,-0.000170403,0.0149078,0.00361904,-0.000505295,0.000186844,0.000303307,0.00895149,0.000373688,-2.77711e-05,0.0106662,-0.0224951,0.000104942,0.000619926,-0.00905518
