Devices
1000
,,North - Force,,,North - Moment,,,North - CoP,,,South - Force,,,South - Moment,,,South - CoP,,,EMG - Voltage,,,,,,,,,,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,1,2,3,TA,5,Sol,7,8,VL,RF,BF,GlutMed,GlutMax,14,MedGast,16
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000425759,0.000874176,0.000897713,0.0163955,0.00586971,0.000715408,0.000873489,-0.000459633,-0.0370538,0.00071701,0.00096405,0.0171893,-0.0203589,0.00132565,0.000276604,-0.00962738
1,1,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000235024,0.000683441,-1.78147e-05,0.0156707,0.00945553,0.00109688,0.00114052,0.000150719,-0.00596397,-0.000389252,0.000735168,0.0205081,-0.0208548,0.000486412,0.00226025,-0.00848297
1,2,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.00107426,0.000912323,0.000592537,0.0155563,0.0130413,0.00132576,0.00114052,0.000455895,0.0898994,0.00102219,-0.000409241,0.01738,-0.0202063,0.00025753,0.000429192,-0.00970367
1,3,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.00141758,0.0011412,0.00101215,0.0164337,0.0125836,0.000333939,0.00159828,0.000913658,-0.0128304,0.000945892,0.000277405,0.011925,-0.0206259,0.000791588,0.000925102,-0.00844482
1,4,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.00015873,0.000225677,0.000287361,0.0155944,0.0107525,-0.000123825,0.000415726,-0.000574074,-0.0387704,0.000945892,-0.000218506,0.0126498,-0.0210837,0.000410118,0.000543633,-0.00894073
1,5,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.0011887,0.000263824,0.00108845,0.0168914,0.011134,0.00124947,0.000835342,0.000837364,0.101229,0.00117477,0.0016507,0.0128787,-0.0207785,0.000639,0.000848808,-0.00848297
1,6,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,-0.00022274,0.000797882,0.00093586,0.0163955,0.0101803,0.00109688,0.000911636,-0.000192604,-0.0134789,0.000945892,0.000162964,0.012955,-0.0186804,0.0012875,0.00142101,-0.00890259
1,7,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000387612,-0.000232087,0.000668831,0.0154419,0.0120114,-0.000390854,0.000263138,7.44248e-05,-0.0380456,0.000335541,0.000162964,0.012955,-0.0215033,0.000371971,0.00130657,-0.00802521
1,8,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.00126499,0.000759735,0.000706978,0.0156326,0.0105236,0.00140205,0.000949783,0.000532188,0.115382,0.00132736,0.0010022,0.00898769,-0.0211218,0.000867882,8.58689e-05,-0.00840668
1,9,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.0005402,0.000683441,0.000859566,0.0163955,0.00792965,0.000448379,0.00156013,0.00076107,-0.00768059,0.00125107,0.000849609,0.00967434,-0.0205496,0.000867882,0.000886955,-0.00951294
2,0,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000921669,0.000683441,0.000363655,0.0161285,0.00663265,0.000791702,-4.2038e-05,0.000913658,-0.0391137,0.000564422,0.000887756,0.0105899,-0.0201682,0.000715294,0.000810661,-0.00852112
2,1,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000387612,0.00137009,0.00135548,0.0165481,0.00766262,0.000829849,0.000720901,0.000227013,0.118052,0.00186142,0.000124817,0.0105517,-0.0204733,0.000295677,0.000429192,-0.00829224
2,2,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000387612,0.000301971,0.000745125,0.0154037,0.00846371,0.000448379,-3.89107e-06,-1.86916e-06,-0.00264519,0.000449982,0.000544433,0.0107806,-0.0205878,0.000410118,0.00058178,-0.00844482
2,3,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000845375,0.000263824,-0.00104778,0.0169677,0.00663265,0.000410232,0.00060646,0.000417748,-0.0793969,-0.000274811,0.000315552,0.0137179,-0.0206641,0.000600853,9.57493e-06,-0.00871185
2,4,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000311318,0.00137009,0.00101215,0.0160904,0.0091885,0.000715408,0.000453873,0.000455895,-0.0140511,-0.000122223,0.00046814,0.0156634,-0.0201682,0.000715294,0.00145916,-0.00791077
2,5,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000807228,0.000225677,0.00116474,0.0158615,0.00815853,0.000677261,0.000759048,-1.86916e-06,0.0354255,0.000297394,8.66698e-05,0.0153201,-0.0200537,0.00105862,0.00069622,-0.00878815
2,6,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000692788,0.000225677,0.000974007,0.0159378,0.00728115,0.000105057,0.0013694,-4.00161e-05,0.0752509,0.000831451,4.85228e-05,0.0184481,-0.0219229,6.67954e-05,0.000505486,-0.00852112
2,7,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.00157017,0.00110306,0.00112659,0.0171585,0.00857815,-0.000238266,0.000682754,0.00129513,-0.0729119,0.000793304,0.00126923,0.0189059,-0.0200156,0.00124935,0.000734367,-0.00916962
2,8,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000273171,0.000225677,0.000821419,0.016777,0.0079678,0.000867996,0.0013694,-0.000726662,0.0453437,0.00201401,0.000811462,0.0137561,-0.0194434,0.00163082,0.000734367,-0.00836853
2,9,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000997963,-0.000155793,0.000706978,0.0164337,0.00503048,0.000906143,0.000530167,0.000722923,0.0723136,-0.000198517,0.000277405,0.0185244,-0.0218466,-0.000429115,0.000162163,-0.00882629
3,0,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.0011887,0.00148453,0.000439949,0.0165481,0.00487789,0.00159279,0.0013694,0.000684776,-0.0689446,0.0015181,0.000811462,0.0211184,-0.02013,0.00182156,0.00107769,-0.00920776
3,1,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000387612,-3.20468e-06,0.000363655,0.015213,0.00148281,-0.000352707,0.000873489,0.000608482,0.0504173,0.000869598,-0.000256653,0.0193637,-0.0218848,-9.49856e-06,8.58689e-05,-0.00806335
3,2,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000502053,0.00110306,0.00055439,0.0158996,-0.0034,0.000715408,0.000339432,-0.000154457,0.087992,0.000602569,0.00046814,0.0179904,-0.0210074,0.000219383,0.00103954,-0.00821594
3,3,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.00107426,0.000759735,0.00143177,0.016777,-0.00336185,0.000906143,0.0013694,0.000417748,-0.0719201,0.00136551,0.000544433,0.0161212,-0.0210455,0.00163082,-0.00113483,-0.00867371
3,4,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000921669,0.00144638,0.000821419,0.0167007,-0.00256077,0.000715408,7.24029e-05,0.0016766,0.0518287,0.00117477,0.000353699,0.0157016,-0.020397,0.000562706,0.00020031,-0.00974182
3,5,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,-3.20049e-05,0.000301971,0.000211067,0.0165481,-0.00244633,0.000448379,0.000835342,7.44248e-05,0.0951255,-0.000351105,-0.000371094,0.0177996,-0.0217322,0.00025753,0.000276604,-0.0081015
3,6,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.00149387,0.00137009,0.000134773,0.01651,-0.000691566,0.00132576,0.000911636,0.000951805,-0.081495,0.000564422,8.66698e-05,0.0171511,-0.0215414,0.000448265,0.000810661,-0.00833038
3,7,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000349465,0.000759735,0.000325508,0.0160522,-0.00175968,-9.38424e-06,0.000720901,0.0010281,-0.0356423,0.00102219,0.00119293,0.0122683,-0.0215033,0.000715294,0.00115398,-0.00928406
3,8,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000502053,0.000454559,0.000859566,0.0168151,-0.00122562,0.000524673,0.00129311,0.000188866,-0.00584953,0.00125107,0.000391846,0.010628,-0.0215796,0.00102047,0.000543633,-0.00783447
3,9,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000387612,-0.000270233,0.000134773,0.0161285,-0.000577125,0.000333939,-0.000537949,0.000112572,0.089022,0.000831451,0.000925903,0.00971249,-0.0216177,-0.000467262,0.000543633,-0.00840668
