Devices
1000
,,North - Force,,,North - Moment,,,North - CoP,,,South - Force,,,South - Moment,,,South - CoP,,,EMG - Voltage,,,,,,,,,,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,1,2,3,TA,5,Sol,7,8,VL,RF,BF,GlutMed,GlutMax,14,MedGast,16
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000235024,0.0011412,0.000706978,0.0151748,0.0125073,0.000257645,3.42559e-05,0.000494041,0.018946,0.000488129,-0.000371094,0.00852993,-0.0207785,0.000333824,0.000772514,-0.00813965
1,1,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.00130314,0.00152267,0.000974007,0.0168533,0.0141095,0.000639114,0.00129311,0.0010281,-0.0614297,0.00193771,0.000315552,0.0106662,-0.0195578,0.00102047,0.0010014,-0.00890259
1,2,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,-0.000299034,0.000530853,0.00116474,0.0162811,0.0116681,0.000105057,0.000453873,-7.81631e-05,0.0315345,0.00147995,0.00058258,0.0116198,-0.0215033,0.000715294,8.58689e-05,-0.00844482
1,3,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.00015873,7.30893e-05,-0.000742607,0.0161285,0.0113629,0.000181351,0.000263138,0.000608482,0.024134,0.00121292,-0.000256653,0.0109713,-0.0212363,0.000410118,0.00058178,-0.00772003
1,4,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,-0.00022274,-0.00030838,-1.78147e-05,0.0147934,0.00854,0.000600967,-0.000194626,-0.000383339,-0.0515496,0.000373688,-0.0002948,0.0095599,-0.021694,0.000448265,-0.000257454,-0.00768188
1,5,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000921669,0.000797882,0.000478096,0.0157089,0.00735744,0.00140205,0.000720901,0.0010281,0.0472892,0.00163254,-0.000180359,0.0115817,-0.0210837,0.0012875,0.00069622,-0.00836853
1,6,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000616494,-0.000155793,0.000668831,0.0171585,0.00686153,0.000753555,0.0013694,0.000837364,0.0426734,0.00167068,0.000887756,0.013222,-0.0204733,0.00155453,0.00138287,-0.00768188
1,7,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000502053,0.000645294,0.000859566,0.0162048,0.00594601,0.00109688,-4.2038e-05,3.62778e-05,-0.0501763,0.00136551,0.00046814,0.0139849,-0.0210837,0.000982323,-0.000257454,-0.00875
1,8,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000196877,0.0011412,0.00055439,0.0165863,0.0041531,0.000486526,0.00114052,0.00121883,0.0525535,0.00106033,0.00046814,0.0136798,-0.0206259,0.00147823,0.000772514,-0.00852112
1,9,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.0005402,0.000607147,0.000745125,0.0176544,0.00262722,0.00136391,0.00117867,0.000379601,0.0531257,0.00121292,-0.000142212,0.0151294,-0.0208548,0.00117306,0.00115398,-0.00905518
2,0,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000235024,0.000530853,0.000668831,0.0154037,-0.00114933,0.000486526,0.000339432,-0.000268898,-0.0587594,0.00117477,-0.000905151,0.0162738,-0.0215033,0.00140194,0.00111584,-0.00901703
2,1,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000845375,0.00125565,0.000401802,0.0168151,-0.00343815,0.00105873,0.00114052,-0.000764809,-0.0153481,0.00128921,0.000544433,0.0157397,-0.0207022,0.00102047,0.00020031,-0.00909332
2,2,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000311318,0.000836029,0.00131733,0.0161666,-0.00641361,0.000486526,0.00098793,-0.000574074,0.00345833,0.00102219,0.000391846,0.0134127,-0.0208929,0.000410118,0.000238457,-0.00836853
2,3,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000959816,0.00125565,0.000134773,0.0163955,-0.00240818,0.00147835,0.000415726,0.000989952,0.0665153,0.000984039,-0.000218506,0.0127261,-0.0209692,0.00197414,0.00145916,-0.00890259
2,4,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.00015873,0.000225677,0.000783272,0.0164718,-0.00286594,0.000295792,0.00133125,-0.000612221,-0.019201,0.00136551,0.000277405,0.011391,-0.0217703,0.0012112,9.57493e-06,-0.00676636
2,5,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,-0.000833091,0.00125565,-0.000170403,0.015213,-0.00557438,0.000410232,0.000301285,-0.000764809,-0.00657433,0.000945892,0.000544433,0.012192,-0.0221899,-0.000200233,-0.000295601,-0.00905518
2,6,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000692788,7.30893e-05,0.000706978,0.017044,-0.00744358,0.00056282,0.000911636,0.00121883,0.0698341,-0.000274811,0.00046814,0.010628,-0.0206641,0.00136379,0.00126843,-0.007453
2,7,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000616494,0.00156082,0.00166065,0.0158996,-0.00950352,0.00094429,0.000530167,0.000913658,-0.0180184,0.00109848,0.000429993,0.0123446,-0.0206641,0.00163082,0.00134472,-0.00821594
2,8,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,-0.000146446,3.49423e-05,9.66262e-05,0.0163955,-0.0118686,-0.00115379,0.000263138,-7.81631e-05,-0.00317924,-8.40761e-05,-0.000523682,0.0134127,-0.0227621,-0.000581703,0.000276604,-0.00905518
2,9,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000425759,0.000683441,0.000134773,0.0155182,-0.00984684,0.000791702,0.000873489,-0.000917397,0.0846351,0.000831451,0.000391846,0.0123065,-0.0210455,0.000982323,-0.000257454,-0.00813965
