Devices
1000
,,North - Force,,,North - Moment,,,North - CoP,,,South - Force,,,South - Moment,,,South - CoP,,,EMG - Voltage,,,,,,,,,,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,1,2,3,TA,5,Sol,7,8,VL,RF,BF,GlutMed,GlutMax,14,MedGast,16
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000196877,0.000454559,0.000401802,0.0157089,0.00564083,0.000639114,0.000797195,-0.000154457,0.027262,0.000869598,-0.000485535,0.0170749,-0.0211981,0.000639,0.00020031,-0.00825409
1,1,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000921669,0.000492706,2.03323e-05,0.0173111,0.00850185,0.000867996,0.00011055,0.000532188,-0.071386,0.00071701,0.000353699,0.0133364,-0.0207404,0.000982323,0.00199322,-0.00787262
1,2,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.00141758,0.000378265,0.000745125,0.0163955,0.00670895,0.00094429,0.00152199,-7.81631e-05,0.0282157,0.00170883,0.00107849,0.0124591,-0.0199011,0.00159267,0.00058178,-0.00871185
1,3,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000120583,0.000797882,0.000211067,0.0155563,0.00178799,-0.000276413,0.000148697,0.000341454,0.0333656,3.03648e-05,-0.000561829,0.0177233,-0.0218848,-0.000810585,0.00138287,-0.00806335
1,4,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.00015873,0.000683441,0.000630684,0.0163955,-0.00126377,0.000867996,0.00106422,-4.00161e-05,-0.0591027,0.00109848,0.000162964,0.0165408,-0.0200919,0.00144009,0.00069622,-0.00844482
1,5,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000387612,-0.000346527,0.000897713,0.01651,0.000796166,0.00121132,0.00133125,0.000989952,0.0434364,6.85118e-05,0.000391846,0.0132602,-0.0208548,0.0012112,0.000505486,-0.0081778
1,6,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.0005402,0.000645294,-0.000971489,0.0155563,-0.00271336,-0.000123825,0.000453873,0.000494041,0.0526679,-0.000847016,-0.000142212,0.0166171,-0.0218466,0.000143089,0.000772514,-0.0108862
1,7,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000807228,0.000797882,0.00055439,0.0166626,-0.00103489,0.000829849,0.00117867,0.00114254,-0.0579202,0.000793304,0.0010022,0.0194781,-0.0209692,0.00124935,0.00123028,-0.00855927
1,8,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.0011124,0.000836029,0.000783272,0.0150604,0.00255093,0.000867996,3.42559e-05,0.000112572,0.0498832,0.000678863,-6.59181e-05,0.0178759,-0.0203589,0.000486412,0.000925102,-0.0093222
1,9,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.00153202,0.00102676,0.000363655,0.0169296,0.00533566,0.00102058,0.00171272,0.000646629,0.0645316,0.00182327,0.0022229,0.0140612,-0.0200537,0.000906029,0.00180248,-0.00867371
2,0,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.00107426,0.000416412,0.000325508,0.0163192,0.011134,0.00128761,0.000797195,0.000646629,-0.0646722,0.00147995,0.000620727,0.0112002,-0.0213889,0.000829735,0.000925102,-0.00821594
2,1,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000425759,0.000874176,0.00108845,0.0158996,0.0131176,0.000333939,-0.000156479,0.00106625,-0.0195061,0.000488129,0.000239258,0.0144427,-0.0221899,0.00136379,0.000886955,-0.010314
2,2,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000616494,0.000378265,0.000287361,0.0157089,0.0102566,0.00094429,0.00098793,0.00076107,-0.000890426,0.00125107,1.03759e-05,0.0206225,-0.0211218,0.000600853,0.00145916,-0.00821594
2,3,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000235024,0.00159897,0.00181324,0.0161666,0.00613674,0.000867996,0.00060646,0.000303307,0.0693382,0.000984039,0.000620727,0.0214618,-0.0207785,0.000867882,0.00058178,-0.00852112
2,4,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000959816,0.00095047,0.000401802,0.0163574,0.00754818,0.000181351,0.000911636,0.000875511,-0.0151955,0.00125107,0.000391846,0.0186007,-0.0199393,0.00166897,0.00187878,-0.00813965
2,5,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000120583,0.000301971,0.00093586,0.0160141,0.00663265,0.000410232,0.000224991,0.000608482,-0.0153863,0.000373688,-0.000104065,0.0136416,-0.0219992,-0.000276527,-2.8572e-05,-0.00798706
2,6,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000463906,-3.20468e-06,0.000401802,0.0155944,0.007243,0.000372085,-8.0185e-05,-0.000192604,0.0767768,0.000602569,0.000925903,0.0121539,-0.0208548,0.000791588,-0.000753365,-0.00875
2,7,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000578347,0.000378265,0.00124104,0.0161666,0.00953182,0.000867996,0.00125496,0.000188866,-0.0157677,0.00121292,0.00115479,0.00612667,-0.0200537,0.00117306,0.00111584,-0.00756744
2,8,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000883522,0.00117935,0.000363655,0.0161666,0.00880703,0.00094429,0.000301285,0.000722923,-0.0125634,-8.40761e-05,-0.000485535,0.00807217,-0.0209692,-0.000200233,0.00103954,-0.00741486
2,9,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,-0.00022274,0.000530853,-9.41086e-05,0.0156326,0.0079678,6.69097e-05,0.000911636,0.000570335,0.0928367,0.000449982,0.000353699,0.00650814,-0.0206641,0.00105862,0.00210766,-0.00871185
3,0,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000959816,0.00095047,-1.78147e-05,0.0154419,0.0079678,0.000715408,0.000568314,-0.000154457,-0.0133645,0.000488129,0.00046814,0.00818661,-0.0205878,0.000219383,-2.8572e-05,-0.00878815
3,1,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000807228,0.000759735,0.000821419,0.0162048,0.00648006,0.000982437,0.000530167,0.000799217,-0.015043,0.000640716,0.000620727,0.0108187,-0.0220374,0.00132565,0.00119213,-0.00875
3,2,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000463906,0.000836029,0.000630684,0.0163574,0.00594601,0.000295792,0.00060646,-0.00011631,0.0971473,0.000488129,0.000658874,0.00624111,-0.0207022,-0.0012302,0.000772514,-0.00989441
